Indentation

 + User defined profile

+ User defined profile
   Acquisition Rate :	20.0 [Hz]
   Max load :	5.00 	mN
   Loading rate :	3.00 	mN/min
   Pause :	10.0 s
   Max load :	0.50 	mN
   Loading rate :	8.00 	mN/min
   Pause :	90.0 s
   Max load :	0.00 	mN
   Loading rate :	8.00 	mN/min
+ TTX-NHT S/N: 01-05628 settings
   Approach distance : 3000 nm
   Approach speed : 2000 nm/min
   Retract speed : 2001 nm/min
   Dz sensor in fine range
   Stiffness Threshold : 1000 µN/µm
   Spring Compliance : 0.924 mm/N
   Warning: Factory spring compliance
   (Computed: 0.727 mm/N)


Date :11/24/2021
Time :3:10:20 PM

   Method :	Oliver & Pharr

 + Parameters

  Unload Fit [40%,98%]

 + Main results

   HIT=	42.484 	MPa
   EIT=	1.0325 	GPa
   E*=	1.1346 	GPa

 + Hypothesis

   hc out of calibrated range [111 nm, 1466 nm]
   m out of O&P hypothesis
   Poisson's ratio(nu)=	0.30 

 + Additional results

   HVIT=	3.9345 	 Vickers
   nIT=	40.87 %
   Fmax=	4.88 	mN
   hmax=	2366.25 	nm
   S=	0.0142 	mN/nm
   hc=	2115.94 	nm
   hr=	2021.95 	nm
   hp=	-4519.86 	nm
   m=	20.0000 
   Epsilon=	0.73 
   R2=	0.827
   Ap=	114878689.45 	nm²
   Welast=	2032.87 pJ
   Wplast=	2940.75 pJ
   Wtotal=	4973.62 pJ
   Er=	1.1335 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
12.15	308.3803	0.5811	0	1
12.2	309.8865	0.5848	0	1
12.25	311.1754	0.5881	0	1
12.3	312.7842	0.5905	0	1
12.35	313.7171	0.5946	0	1
12.4	314.6308	0.5966	0	1
12.45	315.9555	0.5982	0	1
12.5	316.759	0.6021	0	1
12.55	317.8656	0.6023	0	1
12.6	319.2913	0.6032	0	1
12.65	321.2004	0.609	0	1
12.7	323.0046	0.6113	0	1
12.75	324.4541	0.6112	0	1
12.8	326.0343	0.6153	0	1
12.85	327.3353	0.6197	0	1
12.9	328.779	0.6212	0	1
12.95	329.6875	0.6225	0	1
13	330.8476	0.6241	0	1
13.05	332.3813	0.6261	0	1
13.1	333.704	0.6305	0	1
13.15	335.4012	0.6341	0	1
13.2	336.753	0.6362	0	1
13.25	337.5371	0.6388	0	1
13.3	338.4027	0.6416	0	1
13.35	339.458	0.6418	0	1
13.4	341.0913	0.6439	0	1
13.45	342.5145	0.6493	0	1
13.5	343.7953	0.6504	0	1
13.55	344.8466	0.6522	0	1
13.6	345.7554	0.655	0	1
13.65	347.402	0.6558	0	1
13.7	349.0056	0.6604	0	1
13.75	351.044	0.6604	0	1
13.8	353.403	0.662	0	1
13.85	356.1004	0.6657	0	1
13.9	358.1791	0.6701	0	1
13.95	359.9322	0.6756	0	1
14	361.0563	0.6767	0	1
14.05	361.2297	0.678	0	1
14.1	362.4549	0.6789	0	1
14.15	364.2434	0.6816	0	1
14.2	365.3465	0.687	0	1
14.25	366.6473	0.6885	0	1
14.3	367.5717	0.6899	0	1
14.35	369.0331	0.6937	0	1
14.4	370.5237	0.6934	0	1
14.45	372.1225	0.6957	0	1
14.5	373.2535	0.6995	0	1
14.55	374.1373	0.7011	0	1
14.6	375.9861	0.7045	0	1
14.65	377.1121	0.7082	0	1
14.7	378.4735	0.7113	0	1
14.75	380.0985	0.7137	0	1
14.8	381.3256	0.7147	0	1
14.85	382.4925	0.7186	0	1
14.9	383.3546	0.7221	0	1
14.95	385.0873	0.7218	0	1
15	386.3574	0.7235	0	1
15.05	387.6018	0.7276	0	1
15.1	388.727	0.7311	0	1
15.15	389.5252	0.7335	0	1
15.2	390.9175	0.7353	0	1
15.25	391.7249	0.7392	0	1
15.3	392.9452	0.7388	0	1
15.35	394.2484	0.7402	0	1
15.4	395.5919	0.7454	0	1
15.45	397.4283	0.7483	0	1
15.5	398.7135	0.7519	0	1
15.55	400.0219	0.7535	0	1
15.6	401.1775	0.7543	0	1
15.65	402.3563	0.7579	0	1
15.7	403.517	0.7632	0	1
15.75	404.8084	0.7639	0	1
15.8	406.3413	0.7646	0	1
15.85	407.3959	0.7673	0	1
15.9	409.1888	0.7693	0	1
15.95	411.0794	0.7726	0	1
16	412.2054	0.7725	0	1
16.05	414.0235	0.7737	0	1
16.1	415.4092	0.7789	0	1
16.15	417.4973	0.7837	0	1
16.2	418.5237	0.7874	0	1
16.25	419.1863	0.7872	0	1
16.3	420.6197	0.7907	0	1
16.35	421.4507	0.7972	0	1
16.4	423.0705	0.7947	0	1
16.45	424.7678	0.7958	0	1
16.5	426.1267	0.7994	0	1
16.55	427.4936	0.8023	0	1
16.6	429.133	0.8066	0	1
16.65	430.6882	0.8074	0	1
16.7	431.3986	0.8092	0	1
16.75	433.2106	0.8115	0	1
16.8	434.6173	0.8144	0	1
16.85	436.0536	0.8198	0	1
16.9	437.8679	0.8204	0	1
16.95	438.8744	0.8218	0	1
17	440.4682	0.8241	0	1
17.05	441.9316	0.8279	0	1
17.1	443.6079	0.8322	0	1
17.15	444.7477	0.8345	0	1
17.2	445.2104	0.8344	0	1
17.25	447.0508	0.8375	0	1
17.3	448.4247	0.8396	0	1
17.35	450.0324	0.8398	0	1
17.4	451.9314	0.8447	0	1
17.45	454.1515	0.8475	0	1
17.5	455.6545	0.8507	0	1
17.55	456.3288	0.8546	0	1
17.6	457.9256	0.8554	0	1
17.65	458.9963	0.8576	0	1
